row,PC_1_value,Tank,Treatment,State,Response,Sex,Fish.ID,PC_2_value
61,5.086118853,G1F.3.22.22,rival,pair,aggressive,F,G1F.3.22.22.F,0.233348513
62,1.042035763,G2F.1.19.22,predator,parental,aggressive,F,G2F.1.19.22.F,1.854267514
63,2.611922663,G5F.8.29.21,rival,pair,aggressive,F,G5F.8.29.21.F,-0.316617509
64,-1.50540969,G6F.1.26.22,retrieve,parental,affiliative,F,G6F.1.26.22.F,1.2105537
65,-0.412944627,G6F.11.18.21,rival,pair,aggressive,F,G6F.11.18.21.F,-0.375856621
66,2.516024326,H1F.3.22.22,predator,parental,aggressive,F,H1F.3.22.22.F,1.783645829
67,-1.871610818,H2F.4.27.22,bond,pair,affiliative,F,H2F.4.27.22.F,-1.252263125
68,-0.774012181,J2F.2.22.22,bond,pair,affiliative,F,J2F.2.22.22.F,-0.7097662
69,1.412209898,J2F.3.22.22,rival,pair,aggressive,F,J2F.3.22.22.F,-1.121650931
7,-1.099079355,D1F.5.3.22,bond,pair,affiliative,M,D1F.5.3.22.M,-0.959936003
70,-2.208411686,J2F.5.3.22,retrieve,parental,affiliative,F,J2F.5.3.22.F,2.069332254
71,-2.186023671,J2F.6.15.22,retrieve,parental,affiliative,F,J2F.6.15.22.F,1.43777828
72,2.978917528,J3F.4.27.22,rival,pair,aggressive,F,J3F.4.27.22.F,-1.429587458
73,1.804716665,K1F.4.6.22,predator,parental,aggressive,F,K1F.4.6.22.F,4.202531212
74,-2.179046291,N3F.3.15.22,bond,pair,affiliative,F,N3F.3.15.22.F,-0.670306891
75,-2.435336148,O1F.2.22.22,retrieve,parental,affiliative,F,O1F.2.22.22.F,1.953346632
76,-2.285115403,O1F.4.6.22,retrieve,parental,affiliative,F,O1F.4.6.22.F,1.241033338
77,-0.826050631,O2F.2.22.22,bond,pair,affiliative,F,O2F.2.22.22.F,-1.251229788
78,-2.512323352,P1F.2.1.22,retrieve,parental,affiliative,F,P1F.2.1.22.F,0.950790928
79,-1.344514201,P1F.3.22.22,bond,pair,affiliative,F,P1F.3.22.22.F,-0.887898017
8,-1.183486208,D2F.1.27.22,bond,pair,affiliative,M,D2F.1.27.22.M,-1.336821262
80,-2.321390818,P1F.6.7.22,retrieve,parental,affiliative,F,P1F.6.7.22.F,1.962639647
81,-2.020377961,P2F.4.27.22,bond,pair,affiliative,F,P2F.4.27.22.F,-1.955177519
82,3.242966222,RF3.3.17.22,rival,pair,aggressive,F,RF3.3.17.22.F,-1.087748455
83,-1.915550493,S2F.1.19.22,retrieve,parental,affiliative,F,S2F.1.19.22.F,1.945014798
84,-2.046027537,S2F.2.1.22,retrieve,parental,affiliative,F,S2F.2.1.22.F,0.687241767
85,-2.443451688,S2F.3.17.22,bond,pair,affiliative,F,S2F.3.17.22.F,-1.28069519
86,-0.904302653,S2F.4.27.22,bond,pair,affiliative,F,S2F.4.27.22.F,-1.009036765
87,-2.246691187,A1.7.19.22,retrieve,parental,affiliative,F,A1.7.19.22.F,1.086140651
88,-2.098629964,D3.6.23.21,rival,pair,aggressive,F,D3.6.23.21.F,-0.51561206
89,1.732008455,D5.8.18.21,predator,parental,aggressive,F,D5.8.18.21.F,-1.345543278
9,2.25317274,D2F.12.21.21,predator,parental,aggressive,M,D2F.12.21.21.M,1.473167483
90,4.426534803,D6.7.27.21,predator,parental,aggressive,F,D6.7.27.21.F,5.358499359
91,3.371640619,G2.3.15.22,rival,pair,aggressive,F,G2.3.15.22.F,-0.110128302
